state_name,district_name,Total No. of JobCards issued,Total No. of Workers,Total No. of Active Job Cards,Total No. of Active Workers,SC workers against active workers,ST workers against active workers,Approved Labour Budget,Persondays of Central Liability so far,SC persondays,ST persondays,Women Persondays,Average days of employment provided per Household,Average Wage rate per day per person(Rs.),Total No of HHs completed 100 Days of Wage Employment,Total Households Worked,Total Individuals Worked,Differently abled persons worked,Number of GPs with NIL exp,Total No. of Works Takenup (New+Spill Over),Number of Ongoing Works,Number of Completed Works,% of NRM Expenditure(Public + Individual),% of Category B Works,% of Expenditure on Agriculture & Agriculture Allied Works,Total Exp(Rs. in Lakhs.),Wages(Rs. In Lakhs),Material and skilled Wages(Rs. In Lakhs),Total Adm Expenditure (Rs. in Lakhs.)
TRIPURA,WEST TRIPURA 10069,71433,181845,68480,175292,25232,42469,2684837,1657251,422292,930953,936736,37,197.45115,885,57420,122921,631,0,23458,10119,10817,10.30298,84,48.48625,5925.31623,4790.27245,867.53959,364.29953
TAMIL NADU,TIRUPPUR 10676,253328,385751,123640,231493,42510,364,5826834,1702482,336849,47999,7783759,37,270.26295,255,175260,159556,3152,0,12747,5400,2055,65.79877,59,28.83584,30385.02301,11183.26173,2841.76435,323.29273
ODISHA,SOUTH KHORDHA,245719,209308,155108,99621,60159,12208,10143223,2897363,250798,47262,2425154,31,249.22936,2302,170920,96186,580,0,6345,15033,6242,50.59696,68,34.7248,4304.38944,15535.67734,1619.13635,145.57902
JHARKHAND,HAZARIBAGH NAGAR,295858,200761,159265,115106,11939,118161,1730901,853499,41215,910223,957051,36,284.7037,466,61458,110207,170,13,24757,27745,14158,3.52638,98,76.49453,11108.86146,7617.97227,1127.02544,113.19371
RAJASTHAN,PRATAPGARH 10590,743947,820824,304940,284235,171531,90899,5206610,3088933,575019,6626045,726580,33,196.9512,421,44764,83096,299,0,10979,7040,3511,25.87959,71,19.52711,2333.56718,31280.93528,4000.78853,57.28928
KERALA,CENTRAL ERNAKULAM,319692,535426,76535,139070,62073,5369,2266096,1322587,242801,42075,1355516,28,349.69234,301,92569,80682,220,0,17695,19725,7075,40.80694,50,40.99835,16867.64256,13975.29947,654.47559,43.81282
TAMIL NADU,KARUR 10023,191563,188505,148435,176745,42190,703,6755517,4805274,2618697,178256,5322959,34,289.79052,86,45052,85596,610,0,11174,5006,5690,43.10868,50,2.47655,18569.48134,25276.67097,1616.78436,341.37271
BIHAR,MUNGER 10390,778244,206890,246109,110444,49097,32280,2462092,3426771,697673,13852,2428136,37,247.57874,222,32704,98318,166,5,41545,20552,9938,15.28233,56,72.8004,13641.8403,10843.25948,4823.90788,86.18583
WEST BENGAL,DINAJPUR UTTAR 10030,302509,95076,160696,462551,149664,131114,0,0,0,31,30,30,0.0,0,0,0,0,223,28771,29601,3,0.0,43,6.42893,457.41678,6.20837,0.0,171.64985
MANIPUR,NONEY 10140,53016,141806,19311,130225,0,18465,908229,129429,75,1488,3660,11,822.6655,0,6401,26004,41,1,2282,1592,12,52.22096,0,22.27448,51.09527,3.80133,213.21194,0.0
JHARKHAND,LATEHAR 10393,315539,547937,202138,83674,29206,130989,2309333,2750530,202386,1392706,1413725,31,258.62862,1265,42131,86309,76,45,99435,26570,19300,2.09847,103,98.86655,6236.4259,4646.91866,3014.8068,106.77841
HIMACHAL PRADESH,KANGRA 10061,147861,160743,42683,226974,71333,17940,2929595,279053,265071,25527,396268,27,239.24565,67,43161,84875,8,1,14896,7678,8004,18.32371,68,48.76954,2522.07551,118.91014,4412.5773,331.82734
TAMIL NADU,THANJAVUR 10524,358350,173990,159101,184148,229599,7431,4312788,6478822,1720620,709,4580357,42,249.83388,2227,258527,61590,4278,0,16345,4164,4718,43.2003,58,27.381,16067.91351,24113.63973,3937.93375,322.08267
TELANGANA,Yadadri Bhuvanagiri 10689,111792,268183,70133,355521,126879,44162,2615149,4062688,340979,101675,1649677,35,154.44735,1249,46829,249163,792,0,24122,16691,1315,22.21305,36,28.15159,4060.70439,3945.18479,4293.37248,351.88206
CHHATTISGARH,MANENDRAGARH CHIRMIRI BHARATPUR 10396,139041,82230,155789,48022,6229,77336,2139943,2538904,482981,1005480,1551174,32,152.04797,1468,59951,116535,544,4,9836,7076,6525,47.69602,44,63.45099,2874.14602,1924.85544,352.77921,384.16143
TELANGANA,SOUTH Nagarkurnool,82125,264509,113190,308499,48833,27544,1497669,1262928,531659,1963465,1823732,37,171.64233,1203,89686,159076,274,3,21292,1265,6617,12.37954,37,18.95164,7528.03726,2717.36761,5539.87332,443.94622
MAHARASHTRA,GONDIA 10611,552071,911136,158522,415314,16591,6883,1684630,233058,58275,50591,102702,22,291.71144,238,24198,21190,285,31,42017,28234,1927,7.62937,86,24.82235,7807.56679,1372.23427,5078.32778,198.20276
TELANGANA,Jagtial 10450,117098,289691,73370,123040,42540,28648,2005318,4105314,342195,58464,467356,38,159.84041,114,47413,69394,942,0,13481,23587,3180,13.02796,33,18.52323,4686.8381,8058.92325,3192.15435,236.66386
PUNJAB,UPPER LUDHIANA,78264,51836,28812,41297,56207,6,396476,248748,360203,413,476495,23,277.30305,34,74465,28645,31,1,4249,7665,701,17.61945,38,58.1572,1654.52593,1717.52622,719.95376,0.0
KERALA,SOUTH IDUKKI,286919,473757,106674,124506,9285,25160,4324427,3388322,379204,20618,1523383,33,352.3166,532,131141,85501,83,0,25089,21450,5378,24.84964,33,29.81317,10613.79196,4833.46602,893.041,29.77477
WEST BENGAL,PURBA MEDINIPUR 10470,1254789,1380353,173437,176404,79713,16823,0,0,0,0,0,0,0.0,0,14,84,0,76,4089,177914,71,0.03163,73,54.32537,31.98294,0.0,0.0,538.87219
JAMMU AND KASHMIR,NORTH KUPWARA,79782,64934,38960,50177,5,25834,1948323,156442,18620,13325,1920,26,279.55428,5,3468,23311,56,2,1846,4008,1381,8.18152,58,66.46773,44.29823,323.99529,2248.37274,70.14911
BIHAR,CENTRAL SITAMARHI,438953,534370,200051,435880,119080,3317,3289364,4784975,1032971,2416,1354155,35,227.21563,166,125848,89894,153,2,38443,17639,9537,14.63364,57,26.32769,7986.78709,4679.11627,4855.64473,60.76144
MANIPUR,SENAPATI 10325,64914,84940,37128,74300,6913,16648,2428134,7118,21,207,5960,10,706.4882,0,5814,4735,2,38,3719,344,0,3.88207,0,14.04237,1830.96814,189.34844,1032.92681,4.71585
ARUNACHAL PRADESH,TIRAP VALLEY,4847,3045,16761,11108,7,13157,720002,234937,0,8402,2155,28,272.45725,0,15419,2263,0,4,436,308,9,5.18968,0,0.0,20.69072,451.17329,84.32127,9.57539
TAMIL NADU,EAST RAMANATHAPURAM,221054,468376,301603,57837,45570,179,3137704,4449341,1076713,291,5123548,35,256.4988,2277,180524,189917,1255,0,34191,9971,7939,52.57957,52,25.15597,37544.2891,22523.73489,2090.7711,230.11463
KERALA,OLD THRISSUR,387158,446520,87253,345251,8692,14293,2617657,2813253,104695,60469,1435739,31,368.46988,86,167468,75961,94,0,19580,33621,3865,28.2577,58,29.032,5625.65726,9436.7665,651.53526,66.09857
TELANGANA,UPPER Mahabubnagar,133988,431639,214694,261086,44301,5155,3228705,4402536,552189,55457,1358719,29,192.85081,801,57362,45450,1108,0,33191,12602,654,27.29752,16,44.223,12540.81634,2524.63862,2473.65329,419.97
UTTAR PRADESH,CHITRAKOOT 11447,511021,451874,303408,315537,72877,998,1249449,3010266,28251,5206,1349575,33,220.88615,155,43185,106116,69,1,22174,19234,9413,20.07162,68,42.72417,15681.20234,17222.53674,1417.00198,85.19353
ASSAM,WEST KARBI ANGLONG 10047,228029,88983,165237,226460,16364,26137,529005,1069098,142826,1365357,117814,35,228.22414,5,51289,9787,294,0,7404,28430,3528,16.09487,82,18.22031,3265.48299,4217.19696,134.25512,0.0
ODISHA,BARGARH 10288,207727,318777,143788,93966,51714,127552,1450845,5414796,177480,280675,851838,25,252.01022,262,122699,68847,65,0,33529,9392,3322,22.29052,52,37.81326,4172.81869,3164.3567,865.82725,145.87067
ASSAM,SONITPUR 10456,69364,473003,30882,38073,16047,113814,2352390,1366621,36484,58588,77831,26,245.1773,111,32893,22466,3,0,7477,18599,10005,3.97692,96,19.62081,6533.65305,4276.54681,27.29503,0.0
UTTAR PRADESH,AMETHI,381675,251998,83594,104420,121404,163,2676714,3370,690905,2498,744835,29,245.38269,514,170881,8,285,1,14475,19409,6408,9.54133,35,57.68595,8657.58181,7022.33447,0.0,12.73546
TELANGANA,Siddipet 10497,214671,23908,145110,182070,35413,12157,91490,1478328,1421726,923134,1475970,33,254.03224,267,62835,155376,865,0,15917,16844,1242,21.37086,32,60.07463,5380.98895,6444.58243,2689.6019,348.5157
MAHARASHTRA,NEW DHULE,153382,819526,167832,173553,24851,745,1664474,2185640,327105,41629,405697,33,219.21545,88,24624,13124,46,8,22493,23719,758,0.83634,80,71.65744,13252.65,1737.40317,5210.1294,12.59489
MADHYA PRADESH,SIDHI NAGAR,282844,206347,181401,180429,39531,34325,1722452,1796464,300168,2597809,716482,28,214.91886,366,29829,97673,92,1,8726,9177,20926,54.73705,71,21.67527,2590.35799,3627.14533,3445.90349,190.47332
MEGHALAYA,GREATER East Jaintia Hills,134993,80213,34408,82686,48,67919,4366513,431907,16597,881043,369700,28,260.79936,14,17852,43103,343,45,6300,5533,1968,18.68787,51,20.75019,3992.6947,1238.99594,406.32676,97.90806
PUNJAB,GREATER MOGA,35025,199951,113956,79670,15621,0,605141,1225750,255196,280,292026,20,290.78572,37,27481,54468,43,165,5463,4745,1271,26.11924,32,59.59366,1973.54436,4690.40275,154.55157,0.0
ARUNACHAL PRADESH,LOHIT RANGE,10738,8647,7920,7791,1,18002,365247,109726,143,9616,24244,25,324.82473,0,9700,2966,4,4,377,817,10,0.0,3,105.33136,123.86174,1274.0495,241.82801,4.10548
MIZORAM,SAIHA VALLEY,7390,23333,8418,34252,9,33093,909830,280340,0,1062203,664200,39,308.4884,0,38471,15755,2,0,830,136,416,1.22211,51,52.04289,4848.41074,1755.99431,472.86042,35.46729
KARNATAKA,GADAG 10393,251776,744092,145170,16199,74549,45523,4270604,5794128,482554,536635,1349461,45,330.95622,249,199066,269746,3,0,47815,26601,3466,31.92899,76,37.89485,2259.31516,3926.32945,80.34277,158.34212
HIMACHAL PRADESH,KANGRA 10042,81636,125687,55655,94267,44811,1342,566311,686309,298206,199117,404396,25,211.5414,111,32204,62254,8,0,722,6677,9939,19.91246,68,42.48809,2889.41204,2730.88296,1741.59691,113.66425
PUNJAB,UPPER AMRITSAR,121023,67422,31737,18675,70781,9,382274,651287,839972,629,518658,19,324.07478,29,14678,31593,29,9,4531,4239,714,12.19107,12,75.87195,3729.8274,2340.09303,195.54396,0.0
UTTAR PRADESH,DEORIA 10589,312614,389438,32947,225579,49588,5150,279007,5634939,1004475,678462,1177425,33,211.16995,153,60369,123128,97,5,27304,35341,8081,19.77404,69,29.37865,4366.52427,5013.45407,2372.08266,122.23753
BIHAR,SARAN 10246,244125,547725,94116,316286,21594,8916,5676684,6814076,732400,282737,1103840,30,227.47829,28,41481,84738,83,3,16130,19490,4659,26.06502,78,65.82544,3655.77394,11468.38383,4210.36955,154.80877
RAJASTHAN,UDAIPUR 10731,296656,413651,166878,830892,198808,67842,11701326,2699055,1500729,407888,8861339,48,221.61339,120,199748,141685,601,0,17451,26604,1284,30.14947,59,38.58231,26738.45127,2187.66208,474.05991,50.05585
BIHAR,LOWER AURANAGABAD,429584,461718,212917,217125,50823,1726,6696971,1195733,1092093,3892,1217001,35,259.73542,203,77244,103501,36,35,13693,4389,10143,29.29406,57,75.23995,6538.46844,10807.36581,2492.61315,70.35186
MANIPUR,IMPHAL EAST 10207,36223,31451,23257,29709,29,83333,1699733,110582,0,217,46737,6,48.86349,0,6062,1274,0,0,895,2520,0,48.26481,0,1.20947,2087.29523,47.22418,0.0,0.0
UTTAR PRADESH,LALITPUR 10006,177142,166330,109759,253332,120807,8830,1471289,3232756,1451661,2500,1147061,44,211.26011,1703,80414,94385,140,12,36732,29386,2883,40.60726,60,44.6526,10240.62386,10377.64822,1310.1809,0.0
ARUNACHAL PRADESH,SHI YOMI 10469,11597,2944,5166,10005,0,39329,237105,108568,0,6672,3672,32,183.01878,9,15555,2225,2,4,78,187,29,2.27593,0,39.00023,1227.57993,46.3021,288.22818,5.40712
UTTAR PRADESH,PILIBHIT NAGAR,170604,157603,205123,186720,42571,422,1466227,1957189,486147,2961,386319,35,226.39135,560,58117,51976,388,11,14515,23153,8254,4.81476,38,28.64583,8822.55195,5034.11243,2560.36434,140.47632
MADHYA PRADESH,CHHINDWARA GANJ,98165,412358,82500,509497,8621,3621,8261015,1539878,267310,231320,251029,28,241.15108,19,105124,89042,85,0,26665,18608,6894,61.22216,62,36.69871,7725.38523,4513.87809,718.90302,254.85655
ODISHA,RURAL KENDRAPARA,274611,155268,79345,306859,27782,31874,2510237,2285115,511144,583344,1551000,44,250.75705,2496,62755,134526,177,0,6370,22245,716,21.38448,64,67.44546,10341.06923,3513.80641,3326.13649,302.76068
JHARKHAND,UPPER CHATRA,333067,258973,130684,401781,13877,43890,9214778,3026537,210772,332015,1234545,33,273.25116,173,88367,160347,57,0,45163,58246,10025,1.91573,86,77.00401,3262.02286,3688.4236,3417.01536,63.08242
MADHYA PRADESH,SATNA 10850,170743,180546,175967,360512,37727,13567,2485942,4179320,112925,52659,138541,26,204.04092,19,89024,45426,106,1,40927,15587,1876,51.64987,77,34.01071,5157.1641,3969.86865,5011.89054,223.44021
ANDHRA PRADESH,CENTRAL KURNOOL,385935,481725,373635,668886,108871,536,6589734,9973301,103374,330395,1908362,46,249.52196,6386,302873,286963,1761,3,72836,43409,6068,10.0338,38,21.56318,10339.72871,6900.00783,8838.98595,600.99666
UTTAR PRADESH,KUSHI NAGAR 10135,154674,653100,110942,676764,12415,542,6592117,1550316,89638,930,1078575,34,229.21887,189,54055,7426,543,14,31943,29574,5903,13.86354,57,23.4232,11511.68351,3863.45808,368.36431,188.63201
UTTAR PRADESH,GHAZIABAD 10795,24936,541381,89347,334695,38745,180,2156503,2365031,1378786,10335,543615,27,208.04086,742,46720,69994,204,4,47114,33142,2206,25.49722,45,28.44387,4180.13534,2886.37096,1328.05999,131.29285
ODISHA,GREATER BARGARH,133613,378197,469972,267872,27358,15689,2015841,1509244,263660,3162788,1165192,46,259.83989,633,51012,95171,432,0,62380,51393,2497,22.89433,47,34.0651,4313.33954,5271.91589,587.13419,202.05261
UTTARAKHAND,NAINITAL,123469,176066,58455,48422,30624,21,2480487,421054,97252,381960,141514,21,205.06748,107,34473,18225,68,17,9096,7235,1848,26.76895,39,44.25911,1544.53911,1141.44137,1460.87463,37.40962
RAJASTHAN,ALWAR 10609,519805,359624,178602,457502,123870,81804,8638357,2527566,718224,90396,5042657,36,222.06291,23,89051,103765,3267,0,14108,8464,4060,41.98259,79,55.97334,18714.87162,6098.14977,467.66685,50.86762
HARYANA,JIND 10446,28473,145265,6379,40505,20242,0,74338,258466,573232,0,177906,23,302.70712,54,714,965,0,75,1570,1167,265,2.11345,40,76.10144,70.24465,1016.36781,0.0,32.28442
TELANGANA,Mulugu 10111,148094,207952,120650,179014,42044,1238,1720098,4107193,406705,448924,1395579,30,192.31173,42,1696,106469,1078,0,36835,16368,428,12.54584,34,53.95814,6182.38142,8587.92705,5535.96329,256.61066
UTTAR PRADESH,AYODHYA GANJ,18523,538304,233463,111241,16281,188,5230939,946001,895122,25154,962472,43,237.61523,2,67807,83706,110,2,8196,23970,2672,44.03401,25,17.49952,8363.67506,3321.31719,8266.06769,94.51664
MEGHALAYA,EAST EAST GARO HILLS,33860,71284,28395,70062,2,48376,2661035,803815,4,777749,182341,22,254.60414,135,30548,27494,141,9,3297,8143,2027,22.07012,12,15.76791,1071.4108,1782.66053,3009.15212,44.23331
MAHARASHTRA,WARDHA NAGAR,249208,811185,52139,439651,10466,1452,3777361,1389505,283632,149266,78529,30,336.44859,74,109641,95287,350,32,32243,35759,2578,3.70356,95,24.02469,15125.24473,1300.13477,184.28261,248.0966
HIMACHAL PRADESH,SIRMAUR HILLS,99323,171623,61720,86522,30491,23568,1136604,412379,241222,78156,514903,25,229.1463,60,13255,71521,150,0,676,5724,1667,20.7258,58,51.24668,1485.24302,875.15014,1025.24313,317.04932
NAGALAND,WEST PEREN,23687,87778,54468,135565,0,68923,1966370,721541,0,1831947,590475,35,245.23628,5,57561,55140,10,1,658,814,208,3.10796,6,39.82925,3791.70746,2785.94467,900.26223,14.94624
UTTAR PRADESH,NORTH CHITRAKOOT,267851,258961,213582,128419,29776,329,1084685,4254082,520509,356,640775,34,246.87263,1021,52396,68432,279,0,50730,22258,8310,18.5934,20,36.92538,8564.38999,3659.51307,66.6181,208.62965
UTTAR PRADESH,MEERUT 11012,409822,442772,206362,173707,39351,512,2514793,2068579,335049,900,301831,37,232.21475,1294,241,39367,153,1,1721,20772,6520,27.79732,33,52.61487,25847.16611,6442.40484,1392.91219,95.37411
CHHATTISGARH,GREATER SUKMA,118508,153560,75921,52220,2564,78299,3523896,2381983,81836,692246,184769,41,218.95416,392,51395,62294,492,0,12073,10367,993,42.66582,70,28.8445,5744.28721,3795.62823,1486.69944,171.05666
MADHYA PRADESH,DATIA 10032,184276,464698,55418,405315,32020,12065,5270611,488808,238904,305875,1037775,36,237.51947,383,57386,82463,242,3,46058,23002,2513,53.58087,45,26.04328,11802.09256,7586.07709,897.87589,217.78673
TAMIL NADU,GREATER NAGAPATTINAM,134624,376490,472139,214375,50621,114,8613316,4048312,1210362,146565,4524789,34,256.4842,131,110207,517479,3884,0,8071,11919,16660,78.52279,56,14.4748,17448.58543,17618.1931,1079.65517,167.8194
MADHYA PRADESH,JHABUA 10605,150442,317639,295031,74504,13828,13393,5200274,552835,121563,17930,114899,38,203.10249,315,72672,44248,162,0,24017,17057,1868,52.54417,65,21.60507,15452.32983,3846.58788,1273.13434,335.48604
GUJARAT,NORTH PANCH MAHALS,165868,264156,28015,86289,13407,43,1424652,533083,9234,629038,233273,48,195.40313,28,57582,5045,0,22,2253,1831,142,72.12429,71,20.75522,1984.12468,2168.05722,2945.06416,57.15125
UTTAR PRADESH,OLD AZAMGARH,446787,378250,199230,1285,51480,110,961547,1425674,840775,1057,1302695,25,227.77713,246,176017,105890,209,61,21110,16350,3,16.93733,31,40.94767,20035.02084,11604.65406,4669.83365,200.85928
TAMIL NADU,NAMAKKAL 10791,169710,449647,115610,363595,84428,2322,4852733,8454289,2223793,159912,7555427,60,237.2872,529,139734,274171,2566,0,8122,8430,8997,42.67735,60,4.09542,4057.49293,14149.69834,4024.35252,473.20456
UTTAR PRADESH,MUZAFFARNAGAR 10520,104103,230858,21036,150257,46127,460,1835428,1402938,307782,7903,1045651,30,225.64265,225,35224,149402,83,3,43994,31,3464,17.65774,31,32.78005,5105.23974,15668.53673,5624.80891,81.61831
PUNJAB,BARNALA 10061,73592,181484,50642,41206,80318,12,1563481,660593,843788,281,369048,27,292.61701,48,29799,51046,58,164,1807,1841,2037,17.30562,28,61.36688,1751.53205,1760.64058,638.66191,0.0
KARNATAKA,BIDAR 10203,386119,533038,151210,115211,67601,36841,2903743,1068760,16035,8071,882174,38,266.20944,75,59777,71864,401,0,20006,32447,19537,23.69599,84,31.48458,6989.40561,10259.10895,549.43884,393.8874
WEST BENGAL,CENTRAL HOWRAH,323500,259731,518543,721323,168298,106133,0,0,347,0,0,0,212.48867,0,0,0,0,143,79533,13460,247,0.0,40,4.67169,66.07522,0.0,0.0,518.26681
ODISHA,CUTTACK ABAD,213868,533525,215926,189788,48223,14700,4477771,1004755,884244,89995,3531833,35,297.70291,2003,39738,99618,298,0,61449,9336,1490,22.06921,46,37.75316,19852.52868,3437.14625,841.98187,133.12992
UTTAR PRADESH,JHANSI 10607,129632,244190,351478,392980,69536,649,1119839,2781094,1131226,0,1488493,28,234.55984,216,62793,217128,117,61,16467,19775,3711,17.93482,34,43.04815,9854.5566,1110.97139,2463.25427,219.79321
CHHATTISGARH,RAIPUR 10648,122475,286637,89652,242256,24473,40375,2390944,1445663,158985,129950,1132728,31,258.2387,2533,67080,81368,461,0,20315,9099,2015,38.78907,28,38.29976,6006.10434,4777.1093,2654.8272,198.1677
ODISHA,KALAHANDI 10262,464529,208461,280672,233360,44734,13315,7595244,1496213,288162,1203975,2539170,47,394.93644,860,54126,81328,592,2,29245,17287,2522,13.37395,51,37.97675,4031.12375,3732.49639,527.77612,145.22518
RAJASTHAN,CENTRAL BIKANER,248827,1543437,195984,558915,55942,383143,11443700,5473256,774267,88841,4249185,25,222.51326,128,82176,99620,321,0,36226,6774,1457,58.80507,59,21.77171,7774.37025,6220.5104,1010.67353,130.30206
MAHARASHTRA,GREATER AURANGABAD,214565,831603,78041,414167,36617,4528,2846778,168405,143533,16540,1492432,19,317.78234,1385,63650,22242,22,12,44764,9433,428,5.12617,79,16.0511,3342.66722,2115.33378,269.40208,70.63359
KARNATAKA,RAMANAGARA 10351,288337,136494,98067,107323,97854,37563,905120,7030333,908275,769328,1012640,25,299.91896,177,46442,86943,356,0,50641,23513,18885,33.46541,64,33.05357,4198.9274,10138.43417,23.7034,6.36638
UTTARAKHAND,BAGESHWAR 10140,146876,69964,32601,57470,24932,102,906270,274209,111062,213,505048,30,218.62573,43,57243,38513,252,21,7677,12897,1922,24.49737,57,48.90946,2543.8334,684.57026,248.83654,43.21987
UTTAR PRADESH,LUCKNOW 10102,112546,261854,11044,220232,32114,271,3211069,1791368,878811,1999,678420,35,231.69522,16,49552,120637,261,13,2220,19990,11024,14.32646,33,36.80947,7999.82531,956.55357,4911.88379,62.1517
RAJASTHAN,CENTRAL UDAIPUR,351883,1344556,182219,462127,65937,621266,9064808,4122582,749408,6079206,1613912,53,177.65475,310,73053,96287,816,0,16158,21407,4092,20.99489,33,57.15238,24553.73546,7215.35889,1647.61521,117.80762
KARNATAKA,Yadgir 10650,240619,552553,154046,322501,5386,42963,1762123,2082111,281462,255757,1907130,28,275.56918,158,39290,88421,329,1,31810,42895,7530,48.01667,70,34.13595,10022.17831,10407.86267,1120.32434,88.89167
ANDHRA PRADESH,ANAKAPALLI,286752,455091,154231,483941,201789,13656,8429046,8119035,1904119,96920,3518295,42,226.4451,2684,191692,496114,2432,0,45617,28310,7594,2.67923,61,45.4535,51947.50584,17323.19635,8796.76439,505.77719
GUJARAT,DOHAD 10687,182931,97067,298659,39917,620,125629,2098772,1182092,21953,1115589,389485,41,238.42627,146,39009,6731,873,135,4966,14141,759,49.23426,83,27.89627,1007.35014,481.60593,31.2525,307.39545
MIZORAM,OLD SAITUAL,37276,37282,21783,25727,0,6704,2828668,344966,163,678611,594472,51,336.36574,0,36672,8830,2,0,2099,873,160,8.64755,67,63.68776,2574.43574,2637.72365,631.80254,36.71691
TELANGANA,Siddipet 10606,185785,514782,94871,269045,35799,48233,1723930,2040274,334724,314337,34104,43,173.59521,10,75820,281592,1595,0,30271,13154,1026,32.80913,22,31.64088,15048.99621,1707.54513,4022.98934,195.25877
CHHATTISGARH,KORBA NAGAR,134958,258882,110829,227850,26276,170164,3176157,766093,8687,509409,2638789,34,227.01882,409,27128,154797,476,0,9909,6308,3261,31.78225,50,27.46769,7741.7889,880.6515,666.58758,76.38342
HIMACHAL PRADESH,KULLU 10169,83128,181315,223548,62588,10706,569,638498,1122706,125792,5698,249020,30,253.91351,2,62705,12247,48,2,15056,18511,4175,14.70987,50,56.56516,1450.50263,808.64625,631.46946,41.38803
WEST BENGAL,URBAN PASCHIM BARDHAMAN,677224,1503895,1038192,529845,144310,16842,0,1338,41,0,15,15,0.0,0,0,0,2,215,88684,22708,553,0.0272,62,5.26689,0.0,0.27266,0.0,450.50662
KARNATAKA,BELAGAVI 10668,121858,151924,261177,234787,85767,8054,4563649,1890312,153126,1025938,1226049,20,289.40509,109,16928,78079,112,0,62377,39192,15366,53.97805,64,31.94023,6694.91971,2869.2779,416.5844,205.58048
